Marca temporal,Barrio,Descripción de los daños o asistencia solicitada,categorias
4/3/2017 12:03:30,Ceferino Namuncura,Algunas chapas ya que se me inundo todo el baño y algún muro ya qsbme viene l patio del vecino n la casa,Inundacón con agua
4/3/2017 12:14:07,30 de octubre,Alimentos y colchones,Mobiliario
4/3/2017 12:18:27,Juan XXIII,"Daños en vivienda, pérdida de: colchón sommier de dos plazas, muebles. Se necesitan camiones y máquinas para sacar barro frente y patio de la viviend. La asistencia también se solicita para el resto de los vecinos q sufrieron mejores pérdidas y daños  ",mobiliario - inundacion con barro
4/3/2017 12:19:36,Las flores,Techo colchón calzado para dos nenas brazada ,Desplome y mobiliario
4/3/2017 12:22:38,Juan XXIII,"80 cm de barro dentro del domicilio , todo perdido",inundacion con barro
4/3/2017 12:23:57,Don Bosco km 8,Rajadura muy grande en el techo baño,edilicio
4/3/2017 12:25:55,San martin,Se me goteo toda la casa  entro agua por abajo ,inundacion con agua
4/3/2017 12:28:07,km8,Materiales y perdidas de colchon y muebles,mobiliario
4/3/2017 12:28:41,Extension del Maximo Abasolo,hola escribía xq se me mojó toda la pieza.. entro agua x las paredes y el piso.. se me mojaron las frazadas..los colchones los muebles... y ahora las paredes se están abriendo cuando empezó a salir el sol. .tengo 2 piezas de machimbre..y 1 de chapa..quería saber si me pueden ayudar..,mobiliario - inundacion con agua - edilicio
4/3/2017 12:31:31,Los Arenales ,"El arroyo la mata se desbordó y llegó a tocar nuestra calle, sería importante que vuelvan a rellenarlo. ",inmediaciones afectadas
4/3/2017 12:31:37,Laprida,"Me filtro agua por el piso y tuve que sacar las alfombras xq se estaban pudriendo, tambien ingreso agua por el techo y se filtro demasiada humedad en las paredes ",filtraciones - edilicio
4/3/2017 12:32:28,Moure ,"Daños en el techo, piso, paredes de las piezas, electrodomésticos como heladera, lavarropas, auto particular. ",edilicio - mobiliario - electrodomesticos - vehiculo
4/3/2017 12:34:02,Centenario,Derrumbe de los tejidos.destrucción de la calle.,inmediaciones afectadas
4/3/2017 12:38:44,San cayetano,Goteras en el techo de la cocina y habitación paredes y piso húmedo baño todo lleno de agua,inundacion con agua
4/3/2017 12:40:19,Juan XXIII,Agua en patio y cloaca desvirda x inodoro,inmediaciones afectadas - desborde de cloacas
4/3/2017 12:41:00,San Cayetano ,Goteras de el techo y filtración por puerta ,filtraciones - edilicio
4/3/2017 12:43:25,Pueyrredon,"Colchones, acolchados, sábanas, auto, muebles, machimbre, durlok, libros, placares, puertas,computadora",mobiliario - electrodomesticos - vehiculo
4/3/2017 12:43:30,Abasalo,comida y un colchon de una plaza y nada mas por favor,mobiliario
4/3/2017 12:44:37,Pietrobelli,Perdimos todo,perdida total
4/3/2017 12:46:55,Moure,Perdimos heladera colchones frasadas el barro nos tapo todo  estufas hubo kortos todo lo ke es electeicidad kosina sin nada ateas kedamos en mi kasita de chapa ,mobiliario - electrodomesticos
