ID,Expediente Nº,Año,Localidad,Elementos
6833,291,2009,EL TURBIO,"1 procesadora, 1 motoguadaña, 2 palas poceras, 2 palas corazon, 2 picos, 2 barrehojas, 2 rastrillos, 2 azadas, 2 escardillos"
6834,291,2009,EL TURBIO,"30 platos playos, 30 platos hondos, 30 platos de postre, 30 cucharas, 30 tenedores, 30 cuchillos, 30 cucharitas de te, 30 cucharitas de postre, 30 vasos, 30 tazas de te con plato, 6 panaderas plasticas, 4 jarras plasticas 4 litros, 6 azucareras, 1 cuchill"
6835,291,2009,EL TURBIO,"1 cuchillo de cocina, 1 tabla de corte, 6 repasadores, 1 olla, 1 cacerola, 1 colador, 1 cucharon, 1 espumadera, 1 sarten, 1 cuchara de madera, 1 hervidor, 1 pava, 2 cafeteras, 1 destapador, 1 abrelatas"
6836,291,2009,EL TURBIO,1 fotocopiadora
6838,118,2009,RAWSON,1 impresora
6839,118,2009,RAWSON,1 computadora
6843,123,2009,RAWSON,"1 videoproyector, 1 pantalla"
6844,119,2009,RAWSON,2 máquinas de coser
6847,120,2009,RAWSON,"1 TV 29"""
6848,120,2009,RAWSON,1 Reproductor de DVD
6849,120,2009,RAWSON,"1 minicomponente, 1 microfono"
6855,32,2009,TRELEW,1 computadora
6856,32,2009,TRELEW,"1 TV 29"""
6857,32,2009,TRELEW,1 Reproductor de DVD
6866,518,2009,EL MAITEN,1 fotocopiadora
6867,520,2009,EL MAITEN,"1 videoproyector, pantalla"
6868,520,2009,EL MAITEN,1 fax
6869,520,2009,EL MAITEN, 1 fotocopiadora
6874,519,2009,CHOLILA,2 PC
6875,519,2009,CHOLILA,"1 videoproyector, pantalla"
6880,516,2009,EL MAITEN, 1 fotocopiadora
6881,516,2009,EL MAITEN,1 PC
6884,517,2009,EPUYEN,"1 minicomponente, 1 micrófono"
6885,521,2009,EPUYEN,1 PC
6886,517,2009,EPUYEN,1 impresora
6894,115,2009,COSTA DEL CHUBUT,1 PC
6895,115,2009,COSTA DEL CHUBUT,1 reproductor de DVD
6896,115,2009,COSTA DEL CHUBUT,1 impresora
6897,115,2009,COSTA DEL CHUBUT, 1 fotocopiadora
6898,115,2009,COSTA DEL CHUBUT, 1 radiograbador
6901,522,2009,GUALJAINA,1 PC
6919,62,2009,RAWSON,1 PC
6920,62,2009,RAWSON,1 Impresora
6921,625,2009,RAWSON,1 PC
6922,625,2009,RAWSON,1 impresora
6923,424,2009,CAMARONES,"1 maquina de picar carne, 1 maquina de pelar papas industrial, 1 procesadora, 1 batidora, 1 microondas"
6930,32,2009,TRELEW,1 impresora multifuncion
6935,824,2009,TRELEW,1 fotocopiadora
6939,97,2009,TRELEW,CINCO PELOTAS de fútbol
6947,851,2009,ESQUEL,"1 PC, 1 impresora"
6948,850,2009,SARMIENTO,"1 PC, 1 Impresora"
6949,853,2009,LAGO PUELO,1 reproductor de DVD
6950,853,2009,LAGO PUELO,1 Reproductor de MP4
6952,114,2009,TRELEW,1 plancha a vapor
6954,880,2009,PTO MADRYN,2 computadoras
6955,880,2009,PTO MADRYN,1 impresora
6956,866,2009,PTO MADRYN,4 radiograbadores
6959,819,2009,PTO MADRYN,"1 Computadora, 1 Impresora"
6960,823,2009,PTO MADRYN,"1 computadora, 1 impresora"
6961,823,2009,PTO MADRYN,2 radiograbadores
6962,960,2009,TRELEW,8 Computadoras
6963,960,2009,TRELEW,2 Impresoras
6964,825,2009,ESQUEL,5 cámaras digitales
6966,993,2009,ESQUEL,1 fotocopiadora
6968,963,2009,EL ESCORIAL,"1 cortadora de fiambre, 1 procesadora, 1 licuadora, 1 estabilizador de tensión"
6970,962,2009,LAGUNITA SALADA,"1 minicomponente, 1 micrófono"
6971,970,2009,LOS ALTARES,"1 heladera con freezer, 1 cocina industrial"
6972,961,2009,LAGUNITA SALADA,1 fotocopiadora
6973,971,2009,LOS ALTARES,"3 mesas para PC, 1 cortadora de cesped"
6974,959,2009,ALDEA EPULEF,1 heladera almacenera de tres puertas
6979,963,2009,EL ESCORIAL,1 reproductor de DVD
6980,508,2009,RAWSON, 1 impresora
6981,508,2009,RAWSON,1 cocina industrial
6982,508,2009,RAWSON,1 computadora
6983,820,2009,COMODORO RIVADAVIA,"2 Computadoras, 2 Impresoras"
6984,822,2009,COMODORO RIVADAVIA,"1 TV, 1 Minicomponente"
6991,,2009,ESQUEL,"1 PC, 1 impresora, 1 fax"
6996,223,2009,ALDEA EPULEF,1 Computadora
6997,223,2009,ALDEA EPULEF,1 impresora
