ID,Dominio,Auto,Año,Chasis,Motor,Modelo,Tipo
4,EPT506,S10 2.8 TD T INTERC 4X4 D/CAB,2004,9BG138BC05C401257,40704178784,Chevrolet,4x4
7,EUH252,S10 2.8 STD T.INTERC 4X4 D/CAB,2005,9BG138BC05C406499,40704185898,Chevrolet,4x4
8,ECI315,GRAN VITARA,2003,8AK116DL03R200591,10DYEY4032915,Suzuki,4x4
25,FGR860,S10 2.8 STD T INTERC 4X4 D/CAB,2005,9BG138BC06C406552,M1T239401,Chevrolet,4x4
39,AXQ690,"BLAZER DLX 2,2",1996,9DG116CRTSC9149,B22N231024858P,Chevrolet,4x4
42,EPT493,S-10 2.8 STD T.INTERC. 4X4 D/CAB,2004,9BG138BC04C428167,40704172999,Chevrolet,4x4
44,EUH170,S10 2.8 STD T INTERC 4X4 D/CAB,2005,9BG138BC05C413238,40704196008,Chevrolet,4x4
51,FKB096,S10 2.8 TDI STD 4X4 D/CAB,2006,9BG138BC06C408975,M1T241886,Chevrolet,4x4
53,EUH161,S10 2.8 STD 4X4 D/CAB,2005,9BG138BC05C410521,40704192372,Chevrolet,4x4
54,CQQ777,"Luv D/Cab 4X4 2,8",1999,8GGTFSF15XA071745,543901,Chevrolet,4x4
61,FGR861,S10,2005,9BG138BC06C406545,M1T239385,Chevrolet,4x4
66,EUH160,S-10 2.8 STD T.INTERC. 4X4 D/CAB,2005,9BG138BC05C410922,40704192812,Chevrolet,4x4
71,FGR859,S10,2005,9BG138BC06C406499,M1T239605,Chevrolet,4x4
72,FAI852,S10 2.8 TD T INTERC 4X4 D/CAB,2005,9BG138BC05C413872,40704196936,Chevrolet,4x4
108,AGD489,EXPLORER XLT 4X4 SPORT,1995,9471242,E26929,Ford,4x4
128,EGE667,Ranger XLT C/C 4x4 2.8L D,2003,8AFER13F03J299045,B61606024,Ford,4x4
136,BTB496,EXPLORER XLT 4X4 AUT,1998,XXXWUA19866,A19866,Ford,4x4
157,BIM945,Explorer XLT 4x4 Sport,1997,9471537,B61958,Ford,4x4
158,BGR464,F-100 D 4X4,1996,33SDB00346,22904388732,Ford,4x4
192,EPT500,RANGER XL 4X4 2.8,2004,8AFDR13FX4J365372,C20160066,Ford,4x4
202,DFO534,Galloper 4x4 3 Ptas.,2000,kmxkpl1bpxu325286,D4BF90300076,Hyundai,4x4
213,EMA880,X-TERRA SE,2004,94DTMND224J509663,40704164454,Nissan,4x4
215,ESR244,FRONTIER 4X4 SE 2.8TD D/CAB,2004,94DCMUD225J539087,40704176934,Nissan,4x4
218,BBX305,2.7 DX 4X4 D/CAB,1997,JN1UBMD21SX451470,TD27426505,Nissan,4x4
221,FBY514,"Frontier 4x4 XE 2,8 TD D/CAB",2005,94DCMUD225J637393,M1T223547,Nissan,4x4
222,BBX304,2.7 D D/CAB 4X4,1996,JN1UBMD21SX451530,TD27427858,Nissan,4x4
223,EVW146,FRONTIER 4X4 XE 2.8 TD,2005,94DCMUD225J564072,40704188234,Nissan,4x4
224,EVW202,FRONTIER 4X4 XE 2.8 TD D/CAB,2005,94DCMUD225J575385,40704194684,Nissan,4x4
279,EIU074,"HILUX 4X4 D/C DX 3,0D",2004,8AJ33LNL549409913,5L-5392814,Toyota,4x4
287,DNZ197,"Hilux 2,8  D/Cab DLX",2000,319333905,3l4977207,Toyota,4x4
289,DJY466,"Hilux 2,8 4x4 D/Cab.DLX",2000,J33LNA3Y9328549,3L4904760,Toyota,4x4
304,FGR877,HILUX SW4 4X4 SRV,2005,8AJYZ59G963001921,1KD-7037804,Toyota,4x4
307,DJK947,CHEROKEE CLASSIC,2000,8B4FFN8M6X2900088,X2900088,Jeep,4x4
315,EOX488,FRONTIER XE 2.8 TD 4X4,2004,94DCMUD225J539475,40704177813,Nissan,4x4
327,DYO807,HILUX SRV3.0 TD DC,2002,8AJ33GNL529801524,1KZ0851868,Toyota,4x4
342,FPI015,BLAZER 2.8 DLX INTERCOOLER,2006,9B6116BC06C423069,M1T260550,Chevrolet,4x4
356,FLK712,RANGER DC 4X4 XL PLU,2006,8AFDR13H46J472194,C35199184,Ford,4x4
