gobierno_local_nombre,gobierno_local_tipo,autoridad_nombre,autoridad_tipo,telefono_institucional,dirección_institucional,email_institucional,URL_institucional
28 de julio,Municpio,Burgoa Omar,Intendente,280-4492251,Chacra 338 Ruta Prov. Nº 10,municipalidad28dejulio@yahoo.com.ar,
Aldea Apeleg,Comuna,Pruessing Marcos,Presidente Comunal,2945-497393,,aldeaapeleg@chubut.gov.ar,http://www.chubut.gov.ar/aldeaapeleg
Aldea Baleiro,Comuna,Acinas Jorge Cesar,Presidente Comunal,2903-490112,Ruta Prov. 74,aldeabeleiro@chubut.gov.ar,www.chubut.gov.ar/aldeabeleiro
Alto Rio Senguer,Municpio,Lopez Gutierrez Miguel Angel,Intendente,2945-497019,Av. Rivadavia S/N,infotur_senguer@yahoo.com.ar,http://www.riosenguer.gov.ar
Buen Pasto,Comuna,Campos Rita Viviana,Presidente Comunal,2945-470300,José de San Matín y Luis Campos,buenpasto@chubut.gov.ar,
Camarones,Municpio,Loyola Claudia Alejandra,Intendente,297-4963040,San Martin 570,municamarones@gmail.com,
Carrenleufu,Comuna,Nuñez Sergio,Presidente Comunal,2945-490738,Av. Las Lengas S/N,carrenleufu@chubut.gov.ar,
Cerro Centinela,Comuna,Roa Beatriz,Presidente Comunal,2945-494064,,comunacerrocentinela@chubut.gov.ar,
Cholila,Municpio,Boudarham Silvio Ubaldo,Intendente,2945-498131,Mza 57 entre 56 y 36,municholila@infovia.com.ar,www.turismocholila.gov.ar
Colan Conhué,Comuna,Santander Raúl,Presidente Comunal,2945-470544,Av. Galina S/N,colanconhue@chubut.gov.ar,
Comodoro Rivadavia,Municpio,Linares Carlos,Intendente,297-4060627,Moreno 815,gobierno@comodoro.gov.ar,www.comodoro.gov.ar
Corcovado,Municpio,Molina Hector Ariel,Intendente,2945-494053,Av. San Martin y 25 de Mayo,municipalidadcorcovado@hotmail.com,
Cushamen,Comuna,Gonzalez Omar Gabriel,Presidente Comunal,2945-470746,Islas Malvinas S/N,cushamen@chubut.gov.ar,
