IdDenuncia,Anio,Fecha,Hora,Localidad,Motivo
42389,2012,8/21/2012,12:36:04,TRELEW,AGRADECIMIENTO
42236,2012,2/23/2012,19:27:26,PUERTO MADRYN,AGRADECIMIENTO
42420,2012,10/16/2012,2:10:08,COMODORO RIVADAVIA,COMENTARIO
42408,2012,9/19/2012,20:16:17,0,COMENTARIO
42397,2012,8/29/2012,18:40:53,ESQUEL,COMENTARIO
42395,2012,8/29/2012,16:39:15,TRELEW,COMENTARIO
42356,2012,7/07/2012,13:22:30,TRELEW,COMENTARIO
42345,2012,6/22/2012,11:39:43,COMODORO RIVADAVIA,COMENTARIO
42331,2012,6/12/2012,13:06:54,0,COMENTARIO
42304,2012,5/08/2012,12:06:00,RAWSON,COMENTARIO
42261,2012,3/22/2012,2:02:47,PUERTO MADRYN,COMENTARIO
42249,2012,3/11/2012,11:17:11,TRELEW,COMENTARIO
42225,2012,2/14/2012,10:28:07,0,COMENTARIO
42465,2012,1/29/2012,11:09:00,0,CONSULTA
42446,2012,12/12/2012,7:18:46,0,CONSULTA
42437,2012,11/22/2012,17:00:20,0,CONSULTA
42432,2012,11/13/2012,12:23:59,0,CONSULTA
42426,2012,11/05/2012,11:20:27,RAWSON,CONSULTA
42406,2012,9/14/2012,13:40:45,ESQUEL,CONSULTA
42400,2012,9/04/2012,2:28:24,COMODORO RIVADAVIA,CONSULTA
42398,2012,8/31/2012,11:40:37,RAWSON,CONSULTA
42394,2012,8/28/2012,14:28:19,RAWSON,CONSULTA
42388,2012,8/21/2012,10:08:21,COMODORO RIVADAVIA,CONSULTA
42384,2012,8/17/2012,11:41:13,RAWSON,CONSULTA
42380,2012,8/14/2012,20:39:43,ESQUEL,CONSULTA
42376,2012,8/13/2012,0:03:52,0,CONSULTA
42374,2012,8/09/2012,11:20:53,RAWSON,CONSULTA
42369,2012,7/27/2012,16:57:35,0,CONSULTA
42368,2012,7/27/2012,10:40:02,SARMIENTO,CONSULTA
42364,2012,7/19/2012,13:29:54,COMODORO RIVADAVIA,CONSULTA
42363,2012,7/19/2012,13:06:24,RIO PICO,CONSULTA
42352,2012,6/27/2012,17:03:20,PUERTO MADRYN,CONSULTA
42348,2012,6/25/2012,15:52:23,TRELEW,CONSULTA
42344,2012,6/21/2012,22:27:56,COMODORO RIVADAVIA,CONSULTA
42325,2012,5/30/2012,15:57:51,PUERTO MADRYN,CONSULTA
42318,2012,5/20/2012,22:38:02,TREVELIN,CONSULTA
42311,2012,5/14/2012,14:03:52,PUERTO MADRYN,CONSULTA
42310,2012,5/14/2012,2:01:20,RADA TILLY,CONSULTA
42307,2012,5/10/2012,8:57:30,RAWSON,CONSULTA
42290,2012,4/24/2012,11:35:21,COMODORO RIVADAVIA,CONSULTA
42289,2012,4/23/2012,11:36:44,COMODORO RIVADAVIA,CONSULTA
42288,2012,4/23/2012,9:17:07,POSADAS,CONSULTA
42280,2012,4/12/2012,14:05:43,TRELEW,CONSULTA
42273,2012,4/09/2012,12:52:26,ESQUEL,CONSULTA
42256,2012,3/14/2012,11:35:13,SANTA FE,CONSULTA
42246,2012,3/08/2012,20:16:33,ESQUEL,CONSULTA
42245,2012,3/07/2012,13:07:16,TRELEW,CONSULTA
42244,2012,3/05/2012,13:12:32,COMODORO RIVADAVIA,CONSULTA
42228,2012,2/16/2012,9:46:22,COMODORO RIVADAVIA,CONSULTA
42227,2012,2/16/2012,9:45:45,COMODORO RIVADAVIA,CONSULTA
42200,2012,1/11/2012,13:19:51,TRELEW,CONSULTA
42196,2012,1/07/2012,13:02:14,MONTE GRANDE,CONSULTA
42450,2012,12/30/2012,19:11:39,0,RECLAMO
42448,2012,12/21/2012,14:41:18,FACUNDO,RECLAMO
42445,2012,12/12/2012,7:18:21,0,RECLAMO
42444,2012,12/12/2012,7:18:01,0,RECLAMO
42442,2012,12/07/2012,11:05:06,RAWSON,RECLAMO
42440,2012,12/05/2012,23:26:41,COMODORO RIVADAVIA,RECLAMO
42436,2012,11/21/2012,11:53:22,0,RECLAMO
42423,2012,10/26/2012,15:52:56,LAGO PUELO,RECLAMO
42422,2012,10/24/2012,0:50:34,TRELEW,RECLAMO
42421,2012,10/16/2012,10:39:34,TRELEW,RECLAMO
42418,2012,10/16/2012,0:21:59,COMODORO RIVADAVIA,RECLAMO
42411,2012,9/28/2012,15:48:36,EL HOYO,RECLAMO
42407,2012,9/19/2012,16:09:49,PASO DEL SAPO,RECLAMO
42405,2012,9/12/2012,14:28:24,0,RECLAMO
42403,2012,9/08/2012,12:31:42,GAIMAN,RECLAMO
42402,2012,9/05/2012,14:07:11,0,RECLAMO
42401,2012,9/04/2012,15:53:27,COMODORO RIVADAVIA,RECLAMO
42399,2012,8/31/2012,13:19:59,EL HOYO,RECLAMO
42396,2012,8/29/2012,16:45:59,TRELEW,RECLAMO
42390,2012,8/21/2012,21:28:46,CAMARONES,RECLAMO
42387,2012,8/17/2012,16:34:10,TRELEW,RECLAMO
42386,2012,8/17/2012,13:30:52,TRELEW,RECLAMO
42382,2012,8/15/2012,16:09:47,PASO DEL SAPO,RECLAMO
42379,2012,8/14/2012,20:06:01,ESQUEL,RECLAMO
42378,2012,8/13/2012,10:42:37,PASO DEL SAPO,RECLAMO
42377,2012,8/13/2012,10:38:38,PASO DEL SAPO,RECLAMO
42373,2012,7/31/2012,2:10:59,PASO DEL SAPO,RECLAMO
42371,2012,7/30/2012,18:17:34,CAMARONES,RECLAMO
42362,2012,7/18/2012,20:21:20,CAMARONES,RECLAMO
42355,2012,7/01/2012,21:00:37,ESQUEL,RECLAMO
42354,2012,6/28/2012,12:39:10,BARILOCHE,RECLAMO
