id,Codigo,Ejido
1,30,Rawson
2,37,Trelew
3,5,Camarones
4,6,Comodoro Rivadavia
5,29,Rada Tilly
6,4,Buen Pasto
7,34,Sarmiento
8,1,Aldea Beleiro
9,2,Alto Rio Senguer
10,16,Facundo
11,23,Lago Blanco
12,31,Ricardo Rojas
13,32,Rio Mayo
14,20,Gobernador Costa
15,22,Jose de San Martin
16,33,Rio Pico
17,3,Colan Conhue
18,10,Carrelenfu
19,35,Tecka
20,7,Corcovado
21,15,Esquel
22,38,Trevelin
23,8,Cushamen
24,9,Cholila
25,12,El Hoyo
26,13,El Maiten
27,14,Epuyen
28,21,Gualjaina
29,24,Lago Puelo
30,19,Gastre
31,41,Paso del Sapo
32,42,Lagunita Salada
33,18,Gan Gan
34,36,Telsen
35,27,Piramides
36,28,Puerto Madryn
37,11,Dolavon
38,17,Gaiman
39,39,28 de Julio
40,40,Dique F Ameghino
41,25,Las Plumas
42,26,Paso de Indios
43,43,Mixta Epuyen. Seccion Golondrinas
44,44,Mixta Epuyen. Seccion Lago Puelo
45,45,Mixta Epuyen. Seccion El Hoyo
46,46,Mixta Cholila. Seccion Rio Blanco
47,47,Mixta Cholila. Seccin El Cajon
48,48,Mixta Cholila. Seccion El Rincon
49,49,Mixta Cholila. Seccion Lago Lezana
50,50,Cushamen
51,51,Mixta Gualjaina
52,52,16 de Octubre
53,53,Ex Reserva Nahuelpan
54,54,Pastoril General San Martin
55,55,Colonia Sarmiento
56,56,Ensanche Norte Colonia Sarmiento
57,57,Ensanche Sur Colonia Sarmiento
58,58,Ensanche Colonia Sarmiento
59,59,Colonia Escalante
60,60,Ensanche Sur Colonia Escalante
61,61,Ensanche Norte Colonia Escalante
62,62,Ensanche Margen Norte Rio Chico
63,63,Ensanche Margen Sud Rio Chico
64,64,Pastoril Florentino Ameghino
65,65,Agricola Chubut
66,66,Lotes del ex Ferrocarril The Port Madryn Trelew+AC0-Puerto Madryn
67,67,J+AC0-III  B+AC0-11
68,68,J+AC0-III B+AC0-20
69,69,Mixta Epuyen. Paraje La Isla
