idEscuela,CUE,idDepartamento,idLocalidad,idNivelEducativo,Escuela,DireccionPostal,Telefono,Ambito,Region
7703,2600679,21,30,3,COLEGIO SECUNDARIO Nº7703,9003 - PUNTA NOVALES 450,0297-4590142,Urbana,VI
7702,2600678,21,30,3,COLEGIO SECUNDARIO Nº7702,9003 - GAUCHO RIVERO S/N,0297-4535655,Urbana,VI
7701,2600673,7,20,3,ESCUELA PROVINCIAL Nº7701,9120 - SARMIENTO 268,0280-15534445,Urbana,II
2702,2600138,77,30,3,E.M.A.L. ,9103 - M.M. DE GÃœEMES Nº710 e/D.CANNITO Y PROV. DE STA. CRUZ,0280-485686,Urbana,IV
2701,2600374,7,20,7,E.M.A.L. ,9120 - JUAN MUZIO 707 e/ INDEPENDENCIA y CAPUTO,0280-451314,Urbana,II
2416,2600613,14,20,1,JARDIN MATERNAL DE CHOLILA,9217- AV. 15 DE DICIEMBRE S/NºY RUTA 71,02945-498040,Rural,I
2415,2600612,77,40,1,CENTRO MATERNO INFANTIL,9100 - MORENO NORTE S/NÂª,0280-427484,Urbana,IV
2414,2600598,35,30,1,JARDIN MUNICIPAL,9200 - ALSINA esq. PASTEUR,02945-15467929,Urbana,III
2413,2600589,84,70,1,,9030 - BELGRANO NÂ° 585,02903-420372,Urbana,V
2412,2600583,77,30,1," \ESTRELLITA DE MAR\""""",9103 - NAHUELPAN Y AVDA. ANTÃRTIDA ARGENTINA,15507502,Urbana,IV
2411,2600577,77,30,1," \CRECIENDO JUNTOS\""""",9103 - VACHINA Nº389,0280-482259,Urbana,IV
2410,2600570,91,20,1,JARDIN MATERNAL MUNICIPAL,9020 - AMEGHINO Y ESPAÃ‘A,0297-4894330,Urbana,V
2409,2600533,21,30,1,JARDINES MATERNALES MUNICIPALES,9000 - DALLE MURA Nº270 BÂº STELLA MARIS,0297-4470200,Urbana,VI
2408,2600531,7,20,1,ACUARELA,9120 - LA RIOJA Nº725 BÂº GOB. FONTANA,0280-472365,Urbana,II
2407,2600530,7,20,1,PICHI Ã‘EKUM,9120 - ALBARRACÃN Nº2982 BÂº SAN MIGUEL,0280-471126,Urbana,II
2406,2600529,7,20,1,ESC. MUNICIP. DE NIVEL INICIAL,9120 - GUALJAINA S/N BÂº PUJOL II,0280-471005,Urbana,II
2405,2600528,7,20,1,PARAÃSO DE COLORES,9120 - ANITA JONES 25 - BÂº PUJOL,0280-456982,Urbana,II
2404,2600508,77,30,1,MATERNALES BARRIALES,9103 - CEFERINO NAMUNCURÃ S/N,0280-15664328,Urbana,IV
2403,2600117,35,30,1,MATERNALES BARRIALES ,9200 - SOBRE COSTANERA ENTRE PERITO MORENO Y DARWIN,02945-454403,Urbana,III
2401,2600405,7,20,1,PIEDRA LIBRE,9120 - JUAN MUZIO Y NECOCHEA,0280-473171,Urbana,II
2005,2600176,35,30,2,EXPERIMENTAL Nº1,9200 - ALBERGUE MUNICIPAL RUTA 259 - KM 5,02945-454434,Urbana,III
2004,2600114,35,60,2,EL MOLINO,9203 - MOLINO VIEJO 508,02945-480604,Urbana,III
