idLocalidad,idProvincia,idDepartamento,ISO31662Provincia,localidad,codigoPostal,codigoTelArea,codigoProvincia,codigoDepartamento,codigoLocalidad,codigoLocCompuesto
692,2,6,C,Ciudad Autonoma de Buenos Aires,1041,11,2,6,10,2006010
2,6,490,B,12 de Octubre,,,6,588,30,6588030
3,6,164,B,16 de Julio,,,6,49,50,6049050
4,6,499,B,17 de Agosto,,,6,651,40,6651040
10,6,529,B,25 de Mayo,,,6,854,100,6854100
14,6,525,B,30 de Agosto,,,6,826,40,6826040
16,6,490,B,9 de Julio,,,6,588,100,6588100
22,6,485,B,Abbott,,,6,547,10,6547010
29,6,495,B,Acevedo,,,6,623,10,6623010
35,6,55,B,Adolfo Gonzales Chaves (Est. Chaves),,,6,14,10,6014010
49,6,529,B,Agustín Mosconi,,,6,854,10,6854010
50,6,465,B,Agustín Roca,,,6,413,10,6413010
51,6,465,B,Agustina,,,6,413,20,6413020
58,6,472,B,Alberdi Viejo,,,6,462,10,6462010
59,6,75,B,Alberti (Est. Andrés Vaccarezza),,,6,21,10,6021010
84,6,388,B,Alejandro Petión ,,,6,134,10,6134010
87,6,490,B,Alfredo Demarchi (Est. Facundo Quiroga),,,6,588,10,6588010
95,6,94,B,Almirante Brown,,,6,28,10,6028010
102,6,367,B,Altamirano,,,6,119,10,6119010
109,6,375,B,Alto Los Cardales,,,6,126,10,6126010
119,6,507,B,Álvarez de Toledo,,,6,707,10,6707010
120,6,500,B,Alvarez Jonte,,,6,655,10,6655010
132,6,503,B,América,,,6,679,10,6679010
142,6,435,B,Andant,,,6,231,10,6231010
164,6,475,B,Antonio Carboni,,,6,483,10,6483010
168,6,428,B,Aparicio,,,6,189,10,6189010
176,6,435,B,Arboledas,,,6,231,20,6231020
179,6,474,B,Arenas Verdes,,,6,476,10,6476010
180,6,473,B,Arenaza,,,6,469,10,6469010
183,6,532,B,Argerich,,,6,875,10,6875010
185,6,164,B,Ariel,,,6,49,10,6049010
193,6,256,B,Arrecifes,,,6,77,10,6077010
194,6,446,B,Arribeños,,,6,294,10,6294010
203,6,506,B,Arroyo Corto,,,6,700,10,6700010
204,6,440,B,Arroyo de la Cruz,,,6,266,10,6266010
206,6,508,B,Arroyo Dulce,,,6,714,10,6714010
213,6,460,B,Arroyo Venado,,,6,399,10,6399010
218,6,446,B,Ascensión,,,6,294,20,6294020
225,6,478,B,Atalaya,,,6,505,10,6505010
231,6,129,B,Avellaneda,,,6,35,10,6035010
236,6,153,B,Ayacucho,,,6,42,10,6042010
238,6,510,B,Azcuénaga,,,6,728,10,6728010
239,6,499,B,Azopardo,,,6,651,10,6651010
240,6,164,B,Azul,,,6,49,20,6049020
242,6,198,B,Bahía Blanca,,,6,56,10,6056010
245,6,492,B,Bahía San Blas,,,6,602,10,6602010
246,6,458,B,Baigorrita,,,6,385,10,6385010
250,6,425,B,Bajo Hondo,,,6,182,10,6182010
252,6,222,B,Balcarce,,,6,63,10,6063010
260,6,465,B,Balneario Laguna de Gómez,,,6,413,30,6413030
261,6,428,B,Balneario Marisol,,,6,189,20,6189020
263,6,526,B,Balneario Orense,,,6,833,10,6833010
264,6,425,B,Balneario Pehuen Co,,,6,182,20,6182020
265,6,512,B,Balneario San Cayetano,,,6,742,10,6742010
266,6,486,B,Balneario Sauce Grande,,,6,553,10,6553010
273,6,459,B,Banderalo,,,6,392,10,6392010
277,6,238,B,Baradero,,,6,70,10,6070010
281,6,270,B,Barker,,,6,84,10,6084010
305,6,455,B,Barrio Colinas Verdes,,,6,357,10,6357010
312,6,455,B,Barrio El Boquerón,,,6,357,20,6357020
313,6,455,B,Barrio El Casal,,,6,357,30,6357030
315,6,455,B,Barrio El Coyunco,,,6,357,40,6357040
324,6,388,B,Barrio El Taladro,,,6,134,20,6134020
339,6,455,B,Barrio La Gloria,,,6,357,50,6357050
347,6,477,B,Barrio Las Casuarinas,,,6,497,10,6497010
348,6,367,B,Barrio Las Golondrinas,,,6,119,20,6119020
350,6,367,B,Barrio Los Bosquecitos,,,6,119,30,6119030
354,6,375,B,Barrio Los Pioneros,,,6,126,20,6126020
365,6,535,B,Barrio Parque Almirante Irizar (Ap. Kilómetro 61) ,,,6,638,10,6638010
366,6,367,B,Barrio Parque Las Acacias,,,6,119,40,6119040
372,6,453,B,Barrio Río Salado,,,6,343,10,6343010
375,6,456,B,Barrio Ruta 24 Kilómetro 10,,,6,364,10,6364010
377,6,533,B,Barrio Saavedra,,,6,882,10,6882010
385,6,455,B,Barrio Santa Paula,,,6,357,60,6357060
387,6,482,B,Barrio Santa Rosa,,,6,525,10,6525010
398,6,455,B,Batán,,,6,357,70,6357070
401,6,473,B,Bayauca,,,6,469,20,6469020
409,6,398,B,Bellocq,,,6,147,10,6147010
412,6,270,B,Benito Juárez (Est. Juárez),,,6,84,20,6084020
415,6,300,B,Berazategui,,,6,91,10,6091010
416,6,508,B,Berdier,,,6,714,20,6714020
417,6,308,B,Berisso,,,6,98,10,6098010
420,6,473,B,Bermúdez,,,6,469,30,6469030
428,6,525,B,Berutti,,,6,826,10,6826010
432,6,491,B,Blancagrande,,,6,595,10,6595010
435,6,507,B,Blaquier,,,6,707,20,6707020
436,6,443,B,Blaquier,,,6,277,10,6277010
437,6,494,B,Bocayuva,,,6,616,10,6616010
441,6,499,B,Bordenave,,,6,651,20,6651020
446,6,341,B,Bragado,,,6,112,10,6112010
459,6,198,B,Cabildo,,,6,56,20,6056020
461,6,164,B,Cacharí,,,6,49,30,6049030
465,6,398,B,Cadret,,,6,147,20,6147020
481,6,375,B,Campana,,,6,126,30,6126030
515,6,459,B,Cañada Seca ,,,6,392,20,6392020
517,6,388,B,Cañuelas,,,6,134,30,6134030
525,6,440,B,Capilla del Señor (Est. Capilla),,,6,266,20,6266020
530,6,493,B,Capitán Castro,,,6,609,10,6609010
534,6,394,B,Capitán Sarmiento,,,6,140,10,6140010
541,6,492,B,Cardenal Cagliero,,,6,602,20,6602020
542,6,21,B,Carhué,,,6,7,10,6007010
543,6,505,B,Carlos Beguerie,,,6,693,10,6693010
544,6,398,B,Carlos Casares,,,6,147,30,6147030
545,6,477,B,Carlos Keen,,,6,497,20,6497020
546,6,490,B,Carlos María Naón,,,6,588,20,6588020
548,6,473,B,Carlos Salas,,,6,469,40,6469040
549,6,404,B,Carlos Tejedor,,,6,154,10,6154010
551,6,413,B,Carmen de Areco,,,6,161,10,6161010
552,6,492,B,Carmen de Patagones ,,,6,602,30,6602030
569,6,496,B,Casalins,,,6,630,10,6630010
572,6,460,B,Casbas,,,6,399,20,6399020
573,6,431,B,Cascadas,,,6,203,10,6203010
583,6,419,B,Castelli,,,6,168,10,6168010
584,6,432,B,Castilla,,,6,210,10,6210010
597,6,507,B,Cazón,,,6,707,30,6707030
605,6,419,B,Centro Guerrero,,,6,168,20,6168020
621,6,432,B,Chacabuco,,,6,210,20,6210020
623,6,452,B,Chacras de San Clemente,,,6,336,10,6336010
636,6,455,B,Chapadmalal,,,6,357,80,6357080
645,6,433,B,Chascomús,,,6,217,10,6217010
646,6,524,B,Chasicó,,,6,819,10,6819010
654,6,493,B,Chiclana,,,6,609,20,6609020
660,6,164,B,Chillar,,,6,49,40,6049040
663,6,434,B,Chivilcoy,,,6,224,10,6224010
713,6,489,B,Claraz,,,6,581,10,6581010
714,6,526,B,Claromecó ,,,6,833,20,6833020
720,6,535,B,Club de Campo Larena - Los Quinchos,,,6,638,20,6638020
734,6,421,B,Colón,,,6,175,10,6175010
776,6,491,B,Colonia Hinojo ,,,6,595,20,6595020
789,6,398,B,Colonia Mauricio,,,6,147,40,6147040
792,6,491,B,Colonia Nievas,,,6,595,30,6595030
803,6,532,B,Colonia San Adolfo,,,6,875,20,6875020
808,6,506,B,Colonia San Martín,,,6,700,20,6700020
809,6,491,B,Colonia San Miguel,,,6,595,40,6595040
810,6,21,B,Colonia San Miguel Arcángel,,,6,7,20,6007020
812,6,454,B,Colonia San Ricardo (Est. Iriarte),,,6,351,10,6351010
819,6,404,B,Colonia Seré,,,6,154,20,6154020
837,6,444,B,Comandante Nicanor Otamendi,,,6,280,10,6280010
839,6,341,B,Comodoro Py,,,6,112,20,6112020
851,6,516,B,Conesa,,,6,763,10,6763010
861,6,526,B,Copetonas,,,6,833,30,6833030
872,6,471,B,Coronel Boerr,,,6,455,10,6455010
874,6,367,B,Coronel Brandsen,,,6,119,50,6119050
875,6,459,B,Coronel Charlone,,,6,392,30,6392030
877,6,428,B,Coronel Dorrego,,,6,189,30,6189030
883,6,473,B,Coronel Martínez de Hoz (Ap. Kilómetro 322),,,6,469,50,6469050
888,6,430,B,Coronel Pringles (Est. Pringles),,,6,196,10,6196010
890,6,75,B,Coronel Seguí,,,6,21,20,6021020
891,6,431,B,Coronel Suárez,,,6,203,20,6203020
892,6,481,B,Coronel Vidal,,,6,518,10,6518010
902,6,477,B,Cortines,,,6,497,30,6497030
906,6,489,B,Costa Bonita,,,6,581,20,6581020
913,6,456,B,Country Club Bosque Real - Barrio Morabo,,,6,364,20,6364020
914,6,533,B,Country Club El Casco,,,6,882,20,6882020
915,6,535,B,Country Club El Jagüel ,,,6,638,30,6638030
916,6,469,B,Country Club El Rodeo,,,6,441,10,6441010
919,6,521,B,Crotto,,,6,798,10,6798010
931,6,510,B,Cucullú,,,6,728,20,6728020
934,6,431,B,Cura Malal,,,6,203,30,6203030
935,6,404,B,Curarú,,,6,154,30,6154030
941,6,431,B,D'Orbigny,,,6,203,40,6203040
942,6,435,B,Daireaux,,,6,231,30,6231030
945,6,499,B,Darregueira,,,6,651,30,6651030
947,6,494,B,De Bary,,,6,616,20,6616020
948,6,520,B,De la Canal,,,6,791,10,6791010
949,6,55,B,De La Garma,,,6,14,20,6014020
952,6,507,B,Del Carril,,,6,707,40,6707040
953,6,529,B,Del Valle,,,6,854,20,6854020
955,6,21,B,Delfín Huergo,,,6,7,30,6007030
960,6,520,B,Desvío Aguirre,,,6,791,20,6791020
969,6,440,B,Diego Gaynor,,,6,266,30,6266030
977,6,436,B,Dolores,,,6,238,10,6238010
979,6,518,B,Domselaar,,,6,778,10,6778010
992,6,490,B,Dudignac,,,6,588,40,6588040
993,6,506,B,Dufaur,,,6,700,30,6700030
994,6,511,B,Duggan ,,,6,735,10,6735010
1007,6,421,B,El Arbolito,,,6,175,20,6175020
1049,6,430,B,El Divisorio,,,6,196,20,6196020
1050,6,472,B,El Dorado,,,6,462,20,6462020
1071,6,455,B,El Marquesado,,,6,357,90,6357090
1086,6,501,B,El Paraíso,,,6,665,10,6665010
1089,6,430,B,El Pensamiento,,,6,196,30,6196030
1092,6,428,B,El Perdido (Est. José A. Guisasola),,,6,189,40,6189040
1134,6,471,B,El Trigo,,,6,455,20,6455020
1135,6,473,B,El Triunfo,,,6,469,60,6469060
1147,6,475,B,Elvira,,,6,483,20,6483020
1152,6,434,B,Emilio Ayarza,,,6,224,20,6224020
1153,6,459,B,Emilio V. Bunge,,,6,392,40,6392040
1159,6,437,B,Ensenada,,,6,245,10,6245010
1161,6,516,B,Erezcano,,,6,763,20,6763020
1162,6,529,B,Ernestina,,,6,854,30,6854030
1163,6,533,B,Escalada,,,6,882,30,6882030
1164,6,438,B,Escobar,,,6,252,10,6252010
1166,6,506,B,Espartillar,,,6,700,40,6700040
1167,6,21,B,Espartillar,,,6,7,40,6007040
1170,6,491,B,Espigas,,,6,595,50,6595050
1178,6,446,B,Estación Arenales,,,6,294,30,6294030
1182,6,455,B,Estación Chapadmalal,,,6,357,100,6357100
1203,6,21,B,Esteban Agustín Gascón,,,6,7,50,6007050
1204,6,439,B,Esteban Echeverría,,,6,260,10,6260010
1206,6,499,B,Estela,,,6,651,50,6651050
1213,6,441,B,Ezeiza,,,6,270,10,6270010
1222,6,428,B,Faro,,,6,189,50,6189050
1228,6,499,B,Felipe Solá,,,6,651,60,6651060
1231,6,446,B,Ferré,,,6,294,40,6294040
1239,6,442,B,Florencio Varela,,,6,274,10,6274010
1241,6,443,B,Florentino Ameghino,,,6,277,20,6277020
1243,6,495,B,Fontezuela,,,6,623,20,6623020
1245,6,472,B,Fortín Acha,,,6,462,30,6462030
1251,6,503,B,Fortín Olavarría,,,6,679,20,6679020
1254,6,465,B,Fortín Tiburcio,,,6,413,40,6413040
1259,6,493,B,Francisco Madero,,,6,609,30,6609030
1261,6,510,B,Franklin,,,6,728,30,6728030
1273,6,508,B,Gahan,,,6,714,30,6714030
1281,6,520,B,Gardey,,,6,791,30,6791030
1284,6,460,B,Garré,,,6,399,30,6399030
1295,6,445,B,General Alvear,,,6,287,10,6287010
