num_pers,nombre,tipo,barrio,calle,num_calle,telefono,cp,email,email2,sitio_web,observaciones,fecha
﻿2781,ASOCIACI&OacuteN ARTE Y PARTE,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,HOSPITAL SUBZONAL DR. ANDR&EacuteS R. ISOLA - CALLE ROBERTO G&OacuteMEZ,299, (0280) 154565771 - 154209961,9120,proyectoarteyparte@yahoo.com.ar,,,PERSONERIA JURIDICA NUM. 2781,
3508,ASOCIACI&OacuteN CULTURAL AGITANDO PA&NtildeUELOS,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,MENDOZA,894,0280-154008391 / 4450228,9120,mariela.owen@gmail.com,,,PERSONERIA JURIDICA NUM. 3508,1/02/2016
1690,ASOCIACI&OacuteN CULTURAL EL ARBOL,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,AMEGHINO,764,(0280) 4424760 / 154664693,9100,eugenia.correas@speedy.com.ar,mensajerodel arbol@hotmail.com,,01-feb,1/02/2016
1110,ASOCIACI&OacuteN CULTURAL GALESA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,DON BOSCO,DOMEC GARC&IacuteA NORTE ,353,(0280) 4472550/ 154321983,9120,asociacion.galesa.madryn@gmail.com,,www.facebook.com/asociacion.galesa.madryn/?fref=ts,1110,
1563,ASOCIACI&OacuteN CULTURAL SANMARTINIANA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,DOMECQ GARCIA,306,(0280) 4455214,9120,jessicagutierrez.e@gmail.com,,www.facebook.com/AsociacionCulturalSanmartinianaDePuertoMadryn/?fref=ts,PERSONERIA JURIDICA NUM. 1563,
1120,ASOCIACI&OacuteN DE EISTEDDFOD DEL CHUBUT,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,CENTRO,SAN MARTIN,90,(0280) 4430156,9100,secretaria@eisteddfodpatagonia.com,,www.eisteddfodpatagonia.com,01-feb,1/02/2016
2678,ASOCIACI&OacuteN EISTEDDFOD MIMOSA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,GOBERNADOR FONTANA,GALES,1642,(0280) 4471276/ 154516854,9120,eisteddfodpuertomadryn@hotmail.com,dilysdolafolde@hotmail.com,www.eisteddfodmimosa.org.ar/index.php?cntnd=1,2678,
0,ASOCIACI&OacuteN ESPA&NtildeOLA DE SOCORROS MUTUOS DE PUERTO MADRYN,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,PARRY MADRYN,BARTOLOM&Eacute MITRE,246,0280 4474033/ 154267727,9120,asoc.espanola@speedy.com.ar,,,,1/02/2016
I.N.A.E.S CH-007,ASOCIACI&OacuteN ITALIANA DE SOCORROS MUTUOS PAZ Y PATRIA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,CENTRO,SAN MARTIN,128,(0280) 4431398,9100,asoc.italianatw@speedy.com.ar,,,01-feb,1/02/2016
22,ASOCIACI&OacuteN PORTUGUESA DE SOCORROS MUTUOS VALLE DEL CHUBUT,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,DEMOCRACIA ARGENTINA,SAN MARTIN,916,(0280) 4436227 / 154551849,9100,a_portuguesa_trelew@hotmail.com,,,01-feb,1/02/2016
